time(s),SOC_1,SOC_2,SOC_3,SOC_4
5.59600,0.90683,0.90683,0.90683,0.90683
5.85200,0.93295,0.93077,0.92784,0.92530
5.95200,0.93789,0.93517,0.93162,0.92823
6.05200,0.94190,0.93888,0.93465,0.93126
6.15200,0.94495,0.94137,0.93697,0.93314
6.25200,0.94775,0.94389,0.93920,0.93464
6.35200,0.94980,0.94583,0.94068,0.93604
6.45200,0.95172,0.94785,0.94229,0.93749
6.55200,0.95317,0.94925,0.94325,0.93838
6.65200,0.95399,0.95025,0.94403,0.93910
6.75200,0.95582,0.95147,0.94531,0.93947
6.85200,0.95637,0.95182,0.94562,0.94033
6.95200,0.95749,0.95326,0.94662,0.94124
7.05200,0.95787,0.95394,0.94711,0.94183
7.15200,0.95825,0.95429,0.94743,0.94210
7.25200,0.95891,0.95482,0.94764,0.94278
7.35200,0.95980,0.95548,0.94831,0.94252
7.45200,0.96005,0.95557,0.94873,0.94331
7.55200,0.96049,0.95600,0.94907,0.94357
7.65200,0.96085,0.95615,0.94925,0.94336
7.75200,0.96176,0.95723,0.94997,0.94408
7.85200,0.96209,0.95714,0.95027,0.94418
7.95200,0.96272,0.95800,0.95096,0.94438
8.05200,0.96233,0.95792,0.95047,0.94474
8.15200,0.96253,0.95782,0.95038,0.94518
8.32100,0.96241,0.95772,0.95020,0.94485
8.42100,0.96236,0.95753,0.95039,0.94458
8.52100,0.96293,0.95842,0.95100,0.94513
8.62100,0.96229,0.95786,0.95047,0.94491
8.72100,0.96293,0.95807,0.95101,0.94550
8.82100,0.96286,0.95804,0.95084,0.94527
8.92100,0.96278,0.95802,0.95054,0.94517
9.02100,0.96316,0.95818,0.95064,0.94544
9.12100,0.96320,0.95846,0.95079,0.94503
9.22100,0.96321,0.95845,0.95081,0.94517
9.48900,0.96318,0.95813,0.95060,0.94466
9.58900,0.96349,0.95812,0.95089,0.94463
9.68900,0.96327,0.95831,0.95077,0.94463
9.78900,0.96317,0.95838,0.95068,0.94471
9.88900,0.96270,0.95786,0.95021,0.94484
9.98900,0.96273,0.95801,0.95027,0.94481
10.08900,0.96268,0.95813,0.95009,0.94492
10.18900,0.96277,0.95833,0.94996,0.94489
10.28900,0.96225,0.95777,0.94991,0.94451
10.38900,0.96228,0.95768,0.95007,0.94435
10.48900,0.96238,0.95782,0.95009,0.94496
10.58900,0.96269,0.95812,0.95033,0.94449
10.68900,0.96260,0.95765,0.94998,0.94393
10.78900,0.96252,0.95791,0.94975,0.94416
10.88900,0.96305,0.95832,0.95042,0.94436
10.98900,0.96281,0.95792,0.95031,0.94412
11.08900,0.96267,0.95829,0.95037,0.94449
11.18900,0.96222,0.95745,0.94983,0.94418
11.28900,0.96210,0.95746,0.94994,0.94423
11.38900,0.96219,0.95735,0.94968,0.94390
11.48900,0.96216,0.95724,0.94964,0.94401
11.58900,0.96245,0.95779,0.94981,0.94368
11.68900,0.96232,0.95773,0.94974,0.94409
11.78900,0.96173,0.95719,0.94959,0.94414
11.92800,0.96206,0.95720,0.94932,0.94330
12.02800,0.96164,0.95683,0.94892,0.94336
12.12800,0.96164,0.95685,0.94910,0.94310
12.22800,0.96084,0.95616,0.94864,0.94278
12.32800,0.96093,0.95662,0.94875,0.94353
12.42800,0.96114,0.95640,0.94855,0.94325
12.52800,0.96074,0.95606,0.94818,0.94294
12.62800,0.96090,0.95664,0.94863,0.94292
12.72800,0.96148,0.95685,0.94904,0.94293
12.82800,0.96061,0.95595,0.94818,0.94289
12.92800,0.96096,0.95614,0.94826,0.94297
13.02800,0.96057,0.95567,0.94813,0.94258
13.12800,0.96010,0.95514,0.94755,0.94214
13.22800,0.96004,0.95517,0.94779,0.94225
13.32800,0.96006,0.95525,0.94769,0.94255
13.42800,0.95982,0.95499,0.94739,0.94216
13.52800,0.95986,0.95513,0.94745,0.94214
13.62800,0.95951,0.95458,0.94698,0.94181
13.72800,0.96039,0.95571,0.94776,0.94191
13.82800,0.96022,0.95517,0.94746,0.94209
13.92800,0.96041,0.95523,0.94757,0.94185
14.02800,0.96010,0.95489,0.94727,0.94191
14.12800,0.96007,0.95483,0.94747,0.94183
14.22800,0.95963,0.95471,0.94721,0.94121
14.32800,0.95967,0.95465,0.94685,0.94109
14.42800,0.95926,0.95419,0.94652,0.94136
14.52800,0.95921,0.95411,0.94613,0.94127
14.62800,0.95942,0.95416,0.94663,0.94133
14.72800,0.95911,0.95409,0.94634,0.94099
14.82800,0.95935,0.95404,0.94630,0.94110
14.92800,0.95898,0.95371,0.94588,0.94080
15.02800,0.95885,0.95366,0.94601,0.94041
15.12800,0.95883,0.95364,0.94560,0.94031
15.22800,0.95879,0.95388,0.94597,0.94063
15.32800,0.95853,0.95343,0.94557,0.94039
15.42800,0.95903,0.95371,0.94602,0.94056
15.52800,0.95863,0.95347,0.94575,0.94027
15.62800,0.95886,0.95375,0.94565,0.94012
15.72800,0.95817,0.95320,0.94519,0.94024
15.82800,0.95819,0.95336,0.94520,0.94031
15.92800,0.95772,0.95289,0.94492,0.93990
16.02800,0.95865,0.95338,0.94574,0.94042
16.12800,0.95780,0.95267,0.94475,0.93945
16.22800,0.95854,0.95323,0.94534,0.93966
16.32800,0.95812,0.95271,0.94489,0.93980
16.42800,0.95831,0.95265,0.94482,0.93982
16.52800,0.95832,0.95281,0.94506,0.93926
16.62800,0.95839,0.95281,0.94501,0.93923
16.72800,0.95804,0.95255,0.94478,0.93969
16.82800,0.95769,0.95219,0.94432,0.93942
16.92800,0.95757,0.95230,0.94430,0.93922
17.02800,0.95737,0.95205,0.94408,0.93909
17.12800,0.95763,0.95229,0.94438,0.93933
17.22800,0.95768,0.95222,0.94432,0.93915
17.32800,0.95814,0.95218,0.94449,0.93895
17.42800,0.95789,0.95216,0.94450,0.93920
17.52800,0.95797,0.95249,0.94440,0.93876
17.62800,0.95782,0.95186,0.94404,0.93876
17.72800,0.95780,0.95229,0.94420,0.93799
17.82800,0.95767,0.95210,0.94422,0.93811
17.92800,0.95696,0.95152,0.94354,0.93809
18.02800,0.95733,0.95185,0.94408,0.93844
18.12800,0.95691,0.95155,0.94370,0.93797
18.22800,0.95689,0.95129,0.94351,0.93767
18.32800,0.95694,0.95075,0.94321,0.93755
18.42800,0.95718,0.95126,0.94355,0.93743
18.52800,0.95741,0.95185,0.94378,0.93797
18.62800,0.95780,0.95171,0.94371,0.93762
18.72800,0.95711,0.95102,0.94292,0.93766
18.82800,0.95720,0.95085,0.94283,0.93762
18.92800,0.95760,0.95112,0.94319,0.93735
19.02800,0.95848,0.95132,0.94344,0.93717
19.12800,0.95854,0.95061,0.94266,0.93772
19.22800,0.95883,0.95049,0.94204,0.93678
19.32800,0.95972,0.95043,0.94205,0.93671
19.42800,0.96055,0.95043,0.94181,0.93629
19.52800,0.96142,0.95065,0.94171,0.93552
19.62800,0.96246,0.95060,0.94169,0.93541
19.72800,0.96285,0.95090,0.94156,0.93567
19.82800,0.96327,0.95072,0.94110,0.93519
19.92800,0.96418,0.95115,0.94140,0.93543
20.02800,0.96489,0.95122,0.94120,0.93551
20.12800,0.96571,0.95149,0.94111,0.93566
20.22800,0.96657,0.95170,0.94133,0.93544
20.32800,0.96723,0.95201,0.94145,0.93525
20.42800,0.96767,0.95205,0.94154,0.93515
20.52800,0.96845,0.95269,0.94188,0.93462
20.62800,0.96866,0.95269,0.94157,0.93495
20.72800,0.96952,0.95291,0.94183,0.93547
20.82800,0.96951,0.95243,0.94077,0.93491
20.92800,0.97032,0.95279,0.94102,0.93519
21.02800,0.97081,0.95282,0.94085,0.93488
21.12800,0.97150,0.95350,0.94136,0.93461
21.22800,0.97205,0.95363,0.94102,0.93455
21.32800,0.97286,0.95391,0.94147,0.93497
21.42800,0.97352,0.95414,0.94136,0.93472
21.52800,0.97371,0.95411,0.94097,0.93449
21.62800,0.97439,0.95445,0.94126,0.93470
21.72800,0.97475,0.95470,0.94132,0.93446
21.82800,0.97557,0.95521,0.94138,0.93437
21.92800,0.97604,0.95537,0.94148,0.93417
22.02800,0.97626,0.95575,0.94130,0.93434
22.12800,0.97721,0.95637,0.94205,0.93385
22.22800,0.97742,0.95629,0.94159,0.93442
22.32800,0.97859,0.95693,0.94235,0.93444
22.42800,0.97891,0.95702,0.94225,0.93440
22.52800,0.97904,0.95716,0.94201,0.93390
22.62800,0.97978,0.95743,0.94191,0.93445
22.72800,0.98001,0.95739,0.94180,0.93408
22.82800,0.98034,0.95751,0.94182,0.93447
22.92800,0.98091,0.95808,0.94205,0.93417
23.02800,0.98170,0.95866,0.94243,0.93427
23.12800,0.98130,0.95804,0.94166,0.93425
23.22800,0.98235,0.95925,0.94274,0.93404
23.32800,0.98277,0.95922,0.94253,0.93378
23.42800,0.98349,0.95956,0.94289,0.93406
23.52800,0.98358,0.95990,0.94274,0.93415
23.62800,0.98346,0.95943,0.94232,0.93343
23.72800,0.98412,0.95986,0.94288,0.93380
23.82800,0.98451,0.96004,0.94285,0.93376
23.92800,0.98457,0.96027,0.94275,0.93387
24.02800,0.98535,0.96055,0.94331,0.93406
24.12800,0.98551,0.96073,0.94287,0.93339
24.22800,0.98577,0.96135,0.94340,0.93397
24.55900,0.98695,0.96208,0.94358,0.93416
24.65900,0.98755,0.96260,0.94400,0.93379
24.75900,0.98836,0.96331,0.94454,0.93368
24.85900,0.98858,0.96353,0.94479,0.93354
24.95900,0.98910,0.96398,0.94513,0.93403
25.05900,0.98890,0.96359,0.94457,0.93355
25.15900,0.98905,0.96379,0.94481,0.93372
25.25900,0.98920,0.96395,0.94485,0.93381
25.35900,0.98989,0.96452,0.94538,0.93365
25.45900,0.98992,0.96447,0.94529,0.93337
25.55900,0.99087,0.96528,0.94597,0.93399
25.65900,0.99110,0.96547,0.94603,0.93361
25.75900,0.99122,0.96554,0.94631,0.93381
25.85900,0.99134,0.96559,0.94604,0.93433
25.95900,0.99167,0.96597,0.94618,0.93371
26.05900,0.99173,0.96612,0.94620,0.93406
26.15900,0.99203,0.96648,0.94672,0.93382
26.25900,0.99259,0.96691,0.94714,0.93396
26.35900,0.99289,0.96706,0.94679,0.93414
26.45900,0.99314,0.96751,0.94724,0.93437
26.55900,0.99353,0.96804,0.94782,0.93423
26.65900,0.99384,0.96816,0.94803,0.93392
26.75900,0.99356,0.96818,0.94778,0.93429
26.85900,0.99408,0.96810,0.94805,0.93468
26.95900,0.99451,0.96887,0.94855,0.93432
27.05900,0.99417,0.96849,0.94803,0.93417
27.15900,0.99496,0.96907,0.94843,0.93460
27.25900,0.99527,0.96933,0.94863,0.93436
27.35900,0.99560,0.96969,0.94889,0.93470
27.45900,0.99624,0.97060,0.94991,0.93505
27.55900,0.99597,0.97010,0.94964,0.93485
27.65900,0.99602,0.96994,0.94945,0.93479
27.75900,0.99626,0.97055,0.94933,0.93465
27.85900,0.99671,0.97109,0.95024,0.93494
27.95900,0.99699,0.97105,0.94992,0.93520
28.05900,0.99702,0.97139,0.95014,0.93538
28.15900,0.99735,0.97156,0.95047,0.93497
28.25900,0.99730,0.97130,0.95026,0.93537
28.35900,0.99757,0.97161,0.95048,0.93528
28.45900,0.99752,0.97154,0.95075,0.93530
28.55900,0.99817,0.97228,0.95129,0.93542
28.65900,0.99865,0.97285,0.95144,0.93563
28.75900,0.99850,0.97292,0.95168,0.93548
28.85900,0.99885,0.97310,0.95184,0.93548
28.95900,0.99846,0.97265,0.95137,0.93543
29.05900,0.99878,0.97286,0.95171,0.93591
29.15900,0.99917,0.97334,0.95192,0.93588
29.25900,0.99966,0.97381,0.95265,0.93605
29.35900,0.99957,0.97379,0.95242,0.93577
29.45900,1.00019,0.97484,0.95332,0.93591
29.55900,1.00022,0.97472,0.95341,0.93619
29.65900,1.00022,0.97481,0.95362,0.93649
29.75900,1.00042,0.97508,0.95383,0.93671
29.85900,1.00097,0.97539,0.95397,0.93666
29.95900,1.00080,0.97546,0.95370,0.93683
30.05900,1.00133,0.97585,0.95427,0.93699
30.15900,1.00153,0.97578,0.95431,0.93702
30.25900,1.00155,0.97637,0.95498,0.93734
30.35900,1.00190,0.97695,0.95539,0.93741
30.45900,1.00239,0.97721,0.95577,0.93732
30.55900,1.00241,0.97719,0.95592,0.93746
30.65900,1.00266,0.97759,0.95603,0.93765
30.75900,1.00268,0.97753,0.95612,0.93704
30.85900,1.00318,0.97806,0.95642,0.93786
30.95900,1.00279,0.97789,0.95639,0.93778
31.05900,1.00338,0.97857,0.95681,0.93796
31.15900,1.00372,0.97898,0.95739,0.93834
31.25900,1.00415,0.97944,0.95789,0.93796
31.35900,1.00435,0.97975,0.95812,0.93844
31.45900,1.00480,0.97998,0.95833,0.93869
31.55900,1.00459,0.97994,0.95850,0.93840
31.65900,1.00459,0.98008,0.95839,0.93886
31.75900,1.00487,0.98023,0.95896,0.93879
31.85900,1.00501,0.98059,0.95901,0.93906
31.95900,1.00523,0.98077,0.95929,0.93905
32.05900,1.00542,0.98131,0.95958,0.93930
32.15900,1.00565,0.98159,0.96031,0.93951
32.25900,1.00497,0.98116,0.95941,0.93969
32.35900,1.00562,0.98182,0.95989,0.93968
32.45900,1.00581,0.98194,0.96041,0.94008
32.55900,1.00597,0.98241,0.96074,0.94063
32.65900,1.00616,0.98264,0.96080,0.94038
32.75900,1.00637,0.98318,0.96196,0.94063
32.85900,1.00662,0.98307,0.96178,0.94099
32.95900,1.00678,0.98318,0.96195,0.94136
33.05900,1.00730,0.98369,0.96257,0.94100
33.15900,1.00750,0.98393,0.96294,0.94160
33.25900,1.00753,0.98404,0.96302,0.94171
33.35900,1.00768,0.98454,0.96372,0.94188
33.45900,1.00775,0.98484,0.96381,0.94232
33.55900,1.00809,0.98508,0.96426,0.94228
33.65900,1.00805,0.98515,0.96434,0.94241
33.75900,1.00817,0.98530,0.96462,0.94300
33.85900,1.00855,0.98599,0.96525,0.94295
33.95900,1.00903,0.98643,0.96582,0.94328
34.05900,1.00874,0.98629,0.96567,0.94340
34.15900,1.00860,0.98623,0.96577,0.94360
34.25900,1.00902,0.98683,0.96656,0.94391
34.35900,1.00891,0.98678,0.96647,0.94415
34.45900,1.00929,0.98722,0.96671,0.94480
34.55900,1.00989,0.98792,0.96766,0.94504
34.65900,1.00993,0.98823,0.96794,0.94523
34.75900,1.01050,0.98908,0.96911,0.94576
34.85900,1.01028,0.98874,0.96903,0.94592
34.95900,1.01011,0.98897,0.96892,0.94587
35.05900,1.01020,0.98932,0.96922,0.94628
35.15900,1.01003,0.98945,0.96963,0.94637
35.25900,1.01020,0.98962,0.97000,0.94722
35.35900,1.01051,0.99008,0.97053,0.94734
35.45900,1.01131,0.99077,0.97136,0.94826
35.55900,1.01134,0.99100,0.97198,0.94819
35.65900,1.01152,0.99162,0.97241,0.94858
35.75900,1.01155,0.99168,0.97275,0.94921
35.85900,1.01176,0.99235,0.97350,0.94915
35.95900,1.01169,0.99275,0.97384,0.94981
36.05900,1.01180,0.99292,0.97433,0.95023
36.15900,1.01195,0.99339,0.97485,0.95056
36.25900,1.01183,0.99374,0.97540,0.95115
36.35900,1.01213,0.99410,0.97613,0.95187
36.45900,1.01200,0.99434,0.97640,0.95229
36.55900,1.01216,0.99458,0.97703,0.95262
36.65900,1.01234,0.99517,0.97777,0.95322
36.75900,1.01204,0.99527,0.97820,0.95359
36.85900,1.01214,0.99584,0.97875,0.95402
36.95900,1.01189,0.99571,0.97888,0.95457
37.05900,1.01185,0.99615,0.97935,0.95523
37.15900,1.01187,0.99653,0.98013,0.95557
37.25900,1.01157,0.99643,0.98034,0.95608
37.35900,1.01092,0.99634,0.98072,0.95666
37.45900,1.01119,0.99702,0.98152,0.95664
37.55900,1.01074,0.99714,0.98150,0.95716
37.65900,1.01111,0.99741,0.98226,0.95745
37.75900,1.01070,0.99745,0.98278,0.95767
37.85900,1.01022,0.99766,0.98297,0.95888
37.95900,1.00992,0.99787,0.98332,0.95884
38.05900,1.00955,0.99755,0.98355,0.95988
38.15900,1.00896,0.99751,0.98372,0.95960
38.25900,1.00904,0.99785,0.98437,0.96054
38.35900,1.00858,0.99783,0.98435,0.96056
38.45900,1.00801,0.99767,0.98473,0.96142
38.55900,1.00741,0.99776,0.98495,0.96150
38.65900,1.00756,0.99792,0.98550,0.96193
38.75900,1.00694,0.99800,0.98526,0.96254
38.85900,1.00658,0.99782,0.98559,0.96295
38.95900,1.00627,0.99779,0.98601,0.96373
39.05900,1.00615,0.99813,0.98629,0.96373
39.15900,1.00588,0.99823,0.98657,0.96389
39.25900,1.00538,0.99800,0.98647,0.96417
39.35900,1.00509,0.99807,0.98676,0.96440
39.45900,1.00502,0.99816,0.98690,0.96470
39.55900,1.00405,0.99777,0.98671,0.96549
39.65900,1.00376,0.99735,0.98658,0.96596
39.75900,1.00323,0.99732,0.98701,0.96553
39.85900,1.00280,0.99713,0.98682,0.96632
39.95900,1.00225,0.99697,0.98686,0.96655
40.05900,1.00206,0.99703,0.98703,0.96661
40.15900,1.00207,0.99735,0.98748,0.96678
40.25900,1.00112,0.99714,0.98739,0.96709
40.35900,1.00144,0.99753,0.98790,0.96750
40.45900,1.00067,0.99718,0.98776,0.96795
40.55900,0.99995,0.99665,0.98728,0.96747
40.65900,0.99923,0.99634,0.98716,0.96754
40.75900,0.99902,0.99620,0.98725,0.96864
40.85900,0.99872,0.99605,0.98740,0.96829
40.95900,0.99820,0.99595,0.98725,0.96896
41.05900,0.99741,0.99554,0.98736,0.96907
41.15900,0.99686,0.99512,0.98694,0.96941
41.25900,0.99640,0.99498,0.98697,0.96993
41.35900,0.99582,0.99456,0.98680,0.97022
41.45900,0.99570,0.99471,0.98694,0.96974
41.55900,0.99530,0.99438,0.98676,0.97040
41.65900,0.99436,0.99397,0.98634,0.97022
41.75900,0.99364,0.99337,0.98615,0.97056
41.85900,0.99376,0.99357,0.98652,0.97078
41.95900,0.99322,0.99349,0.98655,0.97100
42.05900,0.99273,0.99329,0.98637,0.97089
42.15900,0.99234,0.99304,0.98619,0.97092
42.25900,0.99140,0.99215,0.98574,0.97097
42.35900,0.99068,0.99192,0.98576,0.97104
42.45900,0.99060,0.99189,0.98579,0.97087
42.55900,0.99021,0.99171,0.98584,0.97146
42.65900,0.98942,0.99137,0.98569,0.97133
42.75900,0.98946,0.99131,0.98576,0.97194
42.85900,0.98883,0.99075,0.98519,0.97155
42.95900,0.98839,0.99079,0.98532,0.97162
43.05900,0.98821,0.99062,0.98525,0.97199
43.15900,0.98767,0.99020,0.98499,0.97166
43.25900,0.98736,0.99001,0.98492,0.97175
43.35900,0.98676,0.98945,0.98430,0.97213
43.45900,0.98626,0.98888,0.98417,0.97227
43.55900,0.98632,0.98921,0.98444,0.97187
43.65900,0.98586,0.98876,0.98444,0.97234
43.75900,0.98478,0.98787,0.98343,0.97231
43.85900,0.98464,0.98812,0.98362,0.97216
43.95900,0.98411,0.98741,0.98344,0.97228
44.05900,0.98377,0.98720,0.98322,0.97202
44.15900,0.98308,0.98671,0.98280,0.97204
44.25900,0.98223,0.98594,0.98220,0.97217
44.35900,0.98234,0.98613,0.98235,0.97209
44.45900,0.98170,0.98568,0.98193,0.97211
44.55900,0.98131,0.98549,0.98172,0.97213
44.65900,0.98069,0.98483,0.98138,0.97196
44.75900,0.98039,0.98461,0.98109,0.97183
44.85900,0.98034,0.98468,0.98118,0.97198
44.95900,0.97972,0.98418,0.98073,0.97188
45.05900,0.97992,0.98430,0.98100,0.97170
45.15900,0.97913,0.98374,0.98027,0.97175
45.25900,0.97821,0.98286,0.97978,0.97166
45.35900,0.97813,0.98294,0.98007,0.97148
45.45900,0.97760,0.98256,0.97967,0.97173
45.55900,0.97672,0.98163,0.97898,0.97183
45.65900,0.97676,0.98161,0.97891,0.97161
45.75900,0.97622,0.98113,0.97843,0.97166
45.85900,0.97513,0.98022,0.97764,0.97088
45.95900,0.97485,0.98019,0.97771,0.97089
46.05900,0.97431,0.97947,0.97725,0.97065
46.15900,0.97346,0.97888,0.97664,0.97058
46.25900,0.97339,0.97854,0.97646,0.97050
46.35900,0.97279,0.97832,0.97612,0.97070
46.45900,0.97224,0.97793,0.97564,0.97025
46.55900,0.97152,0.97704,0.97507,0.96997
46.65900,0.97099,0.97699,0.97493,0.96994
46.75900,0.97042,0.97631,0.97432,0.96981
46.85900,0.97005,0.97599,0.97406,0.96975
46.95900,0.96944,0.97538,0.97356,0.96921
47.05900,0.96913,0.97519,0.97331,0.96951
47.15900,0.96841,0.97467,0.97291,0.96915
47.25900,0.96794,0.97414,0.97272,0.96927
47.35900,0.96699,0.97311,0.97135,0.96838
47.45900,0.96661,0.97299,0.97125,0.96862
47.55900,0.96509,0.97201,0.97042,0.96833
47.65900,0.96534,0.97213,0.97084,0.96850
47.75900,0.96434,0.97108,0.96996,0.96808
47.85900,0.96423,0.97104,0.96997,0.96792
47.95900,0.96399,0.97071,0.96952,0.96756
48.05900,0.96305,0.97005,0.96903,0.96759
48.15900,0.96242,0.96941,0.96827,0.96704
48.25900,0.96170,0.96905,0.96789,0.96712
48.35900,0.96098,0.96832,0.96743,0.96721
48.45900,0.96001,0.96750,0.96703,0.96694
48.55900,0.96018,0.96758,0.96714,0.96631
48.65900,0.95958,0.96718,0.96665,0.96647
48.75900,0.95820,0.96632,0.96584,0.96600
48.85900,0.95793,0.96617,0.96545,0.96572
48.95900,0.95666,0.96505,0.96447,0.96538
49.05900,0.95582,0.96442,0.96391,0.96513
49.15900,0.95467,0.96373,0.96325,0.96472
49.25900,0.95425,0.96300,0.96278,0.96425
49.35900,0.95408,0.96298,0.96268,0.96410
49.45900,0.95349,0.96232,0.96239,0.96425
49.55900,0.95293,0.96177,0.96183,0.96354
49.65900,0.95198,0.96090,0.96111,0.96303
49.75900,0.95111,0.96023,0.96049,0.96317
49.85900,0.95024,0.95957,0.95981,0.96238
49.95900,0.94929,0.95890,0.95927,0.96218
50.05900,0.94874,0.95831,0.95877,0.96198
50.15900,0.94777,0.95768,0.95817,0.96156
50.25900,0.94696,0.95712,0.95778,0.96119
50.35900,0.94645,0.95672,0.95745,0.96091
50.45900,0.94548,0.95615,0.95715,0.96068
50.55900,0.94468,0.95557,0.95631,0.96034
50.65900,0.94380,0.95467,0.95564,0.96006
50.75900,0.94260,0.95365,0.95506,0.95965
50.85900,0.94182,0.95292,0.95425,0.95960
50.95900,0.94105,0.95242,0.95371,0.95902
51.05900,0.94012,0.95142,0.95290,0.95839
51.15900,0.93907,0.95045,0.95208,0.95814
51.25900,0.93845,0.94998,0.95179,0.95789
51.35900,0.93731,0.94888,0.95076,0.95742
51.45900,0.93678,0.94880,0.95019,0.95666
51.55900,0.93588,0.94765,0.94972,0.95632
51.65900,0.93462,0.94668,0.94869,0.95585
51.75900,0.93383,0.94624,0.94794,0.95544
51.85900,0.93264,0.94538,0.94742,0.95515
51.95900,0.93184,0.94466,0.94694,0.95496
52.05900,0.93123,0.94417,0.94606,0.95448
52.15900,0.93050,0.94365,0.94566,0.95397
52.25900,0.92938,0.94300,0.94495,0.95340
52.35900,0.92793,0.94133,0.94373,0.95299
52.45900,0.92737,0.94083,0.94314,0.95227
52.55900,0.92595,0.93971,0.94210,0.95175
52.65900,0.92492,0.93917,0.94110,0.95148
52.75900,0.92365,0.93800,0.94058,0.95091
52.85900,0.92307,0.93739,0.94023,0.95005
52.95900,0.92218,0.93654,0.93959,0.95014
53.05900,0.92090,0.93569,0.93864,0.94941
53.15900,0.91986,0.93462,0.93774,0.94903
53.25900,0.91872,0.93382,0.93693,0.94795
53.35900,0.91812,0.93332,0.93646,0.94774
53.45900,0.91661,0.93228,0.93562,0.94703
53.55900,0.91550,0.93150,0.93462,0.94666
53.65900,0.91422,0.93041,0.93338,0.94598
53.75900,0.91304,0.92939,0.93261,0.94542
53.85900,0.91164,0.92842,0.93179,0.94480
53.95900,0.91154,0.92796,0.93143,0.94437
54.05900,0.90997,0.92702,0.93022,0.94392
54.15900,0.90838,0.92569,0.92935,0.94319
54.25900,0.90745,0.92467,0.92858,0.94298
54.35900,0.90599,0.92370,0.92755,0.94247
54.45900,0.90506,0.92274,0.92677,0.94146
54.55900,0.90409,0.92192,0.92568,0.94063
54.65900,0.90271,0.92103,0.92493,0.93962
54.75900,0.90177,0.91960,0.92366,0.93907
54.85900,0.90093,0.91918,0.92325,0.93860
54.95900,0.89967,0.91798,0.92238,0.93804
55.05900,0.89799,0.91636,0.92082,0.93744
55.15900,0.89693,0.91581,0.92023,0.93699
55.25900,0.89606,0.91497,0.91950,0.93631
55.35900,0.89473,0.91395,0.91869,0.93523
55.45900,0.89346,0.91298,0.91740,0.93435
55.55900,0.89153,0.91133,0.91632,0.93359
55.65900,0.89095,0.91101,0.91593,0.93331
55.75900,0.88960,0.90959,0.91466,0.93248
55.85900,0.88801,0.90819,0.91273,0.93162
55.95900,0.88721,0.90753,0.91262,0.93131
56.05900,0.88557,0.90624,0.91126,0.93054
56.15900,0.88492,0.90581,0.91065,0.92976
56.25900,0.88274,0.90380,0.90896,0.92874
56.35900,0.88174,0.90289,0.90790,0.92776
56.45900,0.88063,0.90196,0.90711,0.92725
56.55900,0.87990,0.90142,0.90699,0.92608
56.65900,0.87737,0.89920,0.90477,0.92549
56.75900,0.87634,0.89800,0.90374,0.92434
56.85900,0.87451,0.89676,0.90258,0.92358
56.95900,0.87369,0.89614,0.90168,0.92257
57.05900,0.87226,0.89467,0.90075,0.92172
57.15900,0.87092,0.89355,0.89953,0.92083
57.25900,0.86949,0.89229,0.89853,0.92063
57.35900,0.86885,0.89137,0.89757,0.91953
57.45900,0.86709,0.89071,0.89661,0.91876
57.55900,0.86720,0.89025,0.89648,0.91795
57.65900,0.86503,0.88845,0.89467,0.91705
57.75900,0.86297,0.88673,0.89319,0.91587
57.85900,0.86236,0.88589,0.89214,0.91535
57.95900,0.86127,0.88494,0.89141,0.91445
58.05900,0.85924,0.88324,0.88974,0.91381
58.15900,0.85873,0.88282,0.88978,0.91269
58.25900,0.85672,0.88119,0.88818,0.91161
58.35900,0.85541,0.87942,0.88680,0.91054
58.45900,0.85419,0.87817,0.88524,0.90978
58.55900,0.85204,0.87658,0.88384,0.90893
58.65900,0.85052,0.87509,0.88238,0.90762
58.75900,0.84942,0.87464,0.88201,0.90697
58.85900,0.84813,0.87343,0.88059,0.90658
58.95900,0.84709,0.87242,0.87977,0.90600
59.05900,0.84469,0.87025,0.87777,0.90480
59.15900,0.84322,0.86914,0.87662,0.90420
59.25900,0.84221,0.86845,0.87626,0.90316
59.35900,0.84091,0.86709,0.87464,0.90178
59.45900,0.83931,0.86550,0.87337,0.90084
59.55900,0.83771,0.86409,0.87207,0.89974
59.65900,0.83529,0.86232,0.87008,0.89851
59.75900,0.83412,0.86193,0.86958,0.89759
59.85900,0.83285,0.86054,0.86813,0.89608
59.95900,0.83137,0.85922,0.86709,0.89560
60.05900,0.83032,0.85812,0.86561,0.89452
60.15900,0.82873,0.85665,0.86467,0.89329
60.25900,0.82743,0.85547,0.86338,0.89280
60.35900,0.82534,0.85376,0.86184,0.89093
60.45900,0.82431,0.85272,0.86090,0.89018
60.55900,0.82306,0.85138,0.85968,0.88928
60.65900,0.82132,0.85000,0.85859,0.88832
60.75900,0.81973,0.84835,0.85698,0.88739
60.85900,0.81784,0.84681,0.85552,0.88657
60.95900,0.81628,0.84594,0.85474,0.88605
61.05900,0.81462,0.84458,0.85333,0.88489
61.15900,0.81344,0.84340,0.85210,0.88354
61.25900,0.81164,0.84202,0.85072,0.88223
61.35900,0.81066,0.84079,0.84983,0.88098
61.45900,0.80868,0.83924,0.84847,0.87992
61.55900,0.80748,0.83793,0.84733,0.87900
61.65900,0.80592,0.83668,0.84615,0.87834
61.75900,0.80467,0.83522,0.84475,0.87745
61.85900,0.80259,0.83392,0.84317,0.87596
61.95900,0.80042,0.83182,0.84194,0.87535
